name,price,class,mlong,mlat
3 pièces à la Villa Palazzino à deux pas du Carré d'or,9 036 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7341598,7.4155686
Villa Palazzino TOWN HOUSE, sur 3 étages,14 522 500 €,Prix compris entre 10 000 000 et 100 000 000€,43.7411256,7.4153881
3 pièces à la Villa Palazzino à deux pas du Carré d'or,7 342 500 €,Prix compris entre 1 000 000 et 10 000 000€,43.7341598,7.4155686
PORT | VUE MER | 2 PIÈCES,3 650 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7018822,7.2710617
LAROUSSE | CHATEAU PERIGORD | 3 PIÈCES,6 500 000 €,Prix compris entre 1 000 000 et 10 000 000€,45.5052146,-0.6141274
PORT | RUSCINO | 2 PIÈCES,3 750 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7018822,7.2710617
SAINT ROMAN | MONTE CARLO SUN | BUREAU,2 600 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.748733,7.4249536
4 PIECES - SUN TOWER,19 000 000 €,Prix compris entre 10 000 000 et 100 000 000€,43.7394085,7.4226117
MONTE CARLO | BUREAUX,35 000 000 €,Prix compris entre 10 000 000 et 100 000 000€,43.7410682,7.4171942
3 pièces - Les Ligures,3 400 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7018103,7.2974336
Magnifique appartement de 3 pièces à Fontvieille,7 800 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7278916,4.6425401
2 pièces en usage mixte,1 260 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7411256,7.4153881
FABULEUX FLORALIES, STUDIO ÉLÉGANT,Sur demande,Sur demande,50.0572694,14.280553
Grand Studio Condamine,780 000 €,Prix compris entre 100 000 et 1 000 000€,43.735074,7.4155072
4 PIECES - AZUR EDEN - LA ROUSSE,7 700 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7476995,7.4300195
Splendide 4 Pièces au Carré d'Or - Usage Mixte,6 250 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7480689,7.428372
2 PIECES - MIRABEAU - MONTE CARLO,6 900 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7383547,7.4153881
STUDIO A PROXIMITE DES PLAGES DU LARVOTTO,2 500 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.7019877,7.1657405
BELLE BOUTIQUE DE LUXE DANS LE CARRE D'OR,1 000 000 €,Prix compris entre 1 000 000 et 10 000 000€,43.6974133,7.2552054

